gender,metric,months,median,source
Nam,HFA,172,165.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,173,165.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,174,166.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,175,166.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,176,167.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,177,167.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,178,168.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,179,168.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,180,169,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,181,169.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,182,169.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,183,170.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,184,170.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,185,170.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,186,171.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,187,171.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,188,171.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,189,172.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,190,172.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,191,172.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,192,172.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,193,173.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,194,173.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,195,173.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,196,173.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,197,174,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,198,174.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,199,174.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,200,174.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,201,174.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,202,174.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,203,175,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,204,175.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,205,175.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,206,175.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,207,175.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,208,175.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,209,175.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,210,175.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,211,175.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,212,175.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,213,176,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,214,176,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,215,176.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,216,176.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,217,176.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,218,176.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,219,176.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,220,176.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,221,176.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,222,176.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,223,176.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,224,176.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,225,176.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,226,176.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,227,176.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,228,176.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,0,49.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,1,53.6,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,2,57.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,3,59.8,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,4,62.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,5,64,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,6,65.8,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,7,67.3,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,8,68.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,9,70.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,10,71.5,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,11,72.8,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,12,74,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,13,75.2,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,14,76.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,15,77.5,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,16,78.6,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,17,79.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,18,80.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,19,81.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,20,82.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,21,83.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,22,84.6,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,23,85.5,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,24,86.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,25,86.6,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,26,87.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,27,88.3,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,28,89.1,WHO Child Growth Standards 2006 (0-60 thang)
